Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R59,M1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,119.6,-80.5,180.0,top
R60,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,119.6,-82.4,180.0,top
R61,M1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,76.65,-100.65,180.0,top
R62,M1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,76.65,-98.75,0.0,top
R63,M1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,94.448279,-122.5,90.0,top
R64,M1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,88.698279,-122.5,90.0,top
SW1,SW_Push,Button_12mm_ANCHOR_CENTER,100.0,-100.0,180.0,top
SW2,TERM ON OFF,SW_SPDT_PCM12_handsolder,110.0,-121.025,0.0,top
SW3,RotaryEncoder,Encoder Alps-Alpine EC35,100.0,-101.304929,0.0,top
U27,TPS54202DDC,SOT-23-6_Handsoldering,115.15,-76.65,0.0,top
U4,AMS1117-3.3,SOT-223-3_TabPin2_HANDSOLDER,89.0,-78.8,180.0,top
U5,74AHCT1G125,SOT-353_SC-70-5_Handsoldering,99.75,-76.65,90.0,bottom
U7,AMS1117-12,SOT-223-3_TabPin2_HANDSOLDER,121.6,-108.4,-90.0,top
