Reference, Value, Footprint, Datasheet
"R32","k1","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"D6","NUP2105L","Package_TO_SOT_SMD:SOT-23_Handsoldering","http://www.onsemi.com/pub_link/Collateral/NUP2105L-D.PDF"
"SW1","TERM OFF ON","liebler_MECH:SS12D00","~"
"R33","120R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"F1","T0.5","Fuse:Fuse_Littelfuse_372_D8.50mm","~"
"D8","LPWM5","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"R35","k22","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"D9","LPWM1","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"R36","k22","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"Q6","BC847","Package_TO_SOT_SMD:SOT-23_Handsoldering","http://www.infineon.com/dgdl/Infineon-BC847SERIES_BC848SERIES_BC849SERIES_BC850SERIES-DS-v01_01-en.pdf?fileId=db3a304314dca389011541d4630a1657"
"U4","ISO1050DUB","liebler_SEMICONDUCTORS:SOP-8_6.62x9.15mm_P2.54mm_handsolder","http://www.ti.com/lit/ds/symlink/iso1050.pdf"
"M1","BxxyyS-1WR","liebler_MODULES:BxxxxS-1W",""
"C26","10u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C27","10u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"J14","CAN","Connector_Phoenix_MC:PhoenixContact_MCV_1,5_4-G-3.5_1x04_P3.50mm_Vertical","~"
"K5","ALDP105W","liebler_MECH:RELAY_ALDP105W","http://gfinder.findernet.com/assets/Series/355/S32EN.pdf"
"SW2","RESET","liebler_MECH:SW_Push_1P1T_NO_6x6mm_H9.5mm","~"
"R3","k1","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"C3","u1","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"R4","Rxxx","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","~"
"JP1","CE","Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels","~"
"JP2","IRQ","Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels","~"
"C24","m1","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C25","m1","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C11","m1","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C7","m1","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C9","m1","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C5","m1","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"J16","24V","liebler_CONN:PhoenixContact_MSTBV_2,5_2-G-5,08_1x02_P5.08mm_Vertical","~"
"J15","PWM_OUT","Connector_Phoenix_MC:PhoenixContact_MCV_1,5_2-G-3.5_1x02_P3.50mm_Vertical","~"
"U9","MAX98357_MODULE","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical",""
"U8","EL817","liebler_SEMICONDUCTORS:SO-4_7.6x3.6mm_P2.54mm_handsolder","http://www.everlight.com/file/ProductFile/EL817.pdf"
"D1","MAINS","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"C23","22n/250V","Capacitor_THT:C_Rect_L11.0mm_W5.1mm_P10.00mm_MKT","~"
"R30","470K","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","~"
"R31","470K","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","~"
"R28","3k3","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","~"
"R16","3k3","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","~"
"D10","1N4148","liebler_SEMICONDUCTORS:D_SOD-123_handsolder","~"
"D11","1N4148","liebler_SEMICONDUCTORS:D_SOD-123_handsolder","~"
"D12","1N4148","liebler_SEMICONDUCTORS:D_SOD-123_handsolder","~"
"D13","1N4148","liebler_SEMICONDUCTORS:D_SOD-123_handsolder","~"
"D14","1N4148","liebler_SEMICONDUCTORS:D_SOD-123_handsolder","~"
"D15","1N4148","liebler_SEMICONDUCTORS:D_SOD-123_handsolder","~"
"JP3","5Vx","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J10","CAN","liebler_CONN:KF250-3.5-3P-A","~"
"U3","LM2596Board","liebler_MODULES:LM2596HV",""
