Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J21,LED1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,148.525,-126.0,-90.0,top
J22,LED1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,155.325,-126.0,-90.0,top
J23,L1,"Flachstecker gewinkelt 4,8 oder 6,35mm",126.5,-102.0,0.0,top
J24,L2,"Flachstecker gewinkelt 4,8 oder 6,35mm",126.5,-92.0,0.0,top
J25,L3,"Flachstecker gewinkelt 4,8 oder 6,35mm",126.5,-82.0,0.0,top
J26,L4,"Flachstecker gewinkelt 4,8 oder 6,35mm",126.5,-72.0,0.0,top
J27,N,"Flachstecker gewinkelt 4,8 oder 6,35mm",126.5,-77.0,0.0,top
J28,PE,"Flachstecker gewinkelt 4,8 oder 6,35mm",126.5,-87.0,0.0,top
J29,N,"Flachstecker gewinkelt 4,8 oder 6,35mm",126.5,-97.0,0.0,top
J30,PE,"Flachstecker gewinkelt 4,8 oder 6,35mm",126.5,-107.0,0.0,top
J32,PROG,PinHeader_2x03_P2.54mm_Vertical,203.565,-99.055,90.0,top
J6,CAN,"PhoenixContact_MCV_1,5_4-G-3.5_1x04_P3.50mm_Vertical",212.6925,-84.3,90.0,top
J7,EXT1,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,183.4,-80.0,180.0,top
J8,LED Out,ÖLFLEX 4x1mm2,166.9,-122.8,270.0,bottom
J9,L_IN,"Flachstecker gewinkelt 4,8 oder 6,35mm",126.5,-62.0,0.0,top
K1,ALDP105W,RELAY_ALDP105W,142.85,-99.65,180.0,top
K2,ALDP105W,RELAY_ALDP105W,142.85,-92.35,180.0,top
K3,ALDP105W,RELAY_ALDP105W,142.85,-85.05,180.0,top
K4,ALDP105W,RELAY_ALDP105W,142.85,-77.75,180.0,top
L1,22uF,L_0630,184.3,-52.2,90.0,bottom
L2,22uF,L_0630,197.0,-44.0,270.0,bottom
L3,10u,L_0630,176.9,-64.35,180.0,bottom
PS2,HLK-30M24C,Converter_ACDC_Hi-Link_HLK-30Mxx,166.5,-53.75,0.0,top
Q6,BC847,SOT-23_Handsoldering,162.1,-89.4,0.0,bottom
Q7,BC847,SOT-23_Handsoldering,162.1,-85.6,0.0,bottom
Q8,BC847,SOT-23_Handsoldering,162.1,-81.8,0.0,bottom
Q9,BC847,SOT-23_Handsoldering,162.1,-78.0,0.0,bottom
R1,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,177.6,-82.3,180.0,bottom
R10,15k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,175.2,-91.7,90.0,bottom
R11,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,209.85,-87.75,90.0,bottom
R12,K12,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,211.1,-99.3,0.0,bottom
R13,0R15,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,207.0,-41.6,180.0,bottom
R14,k47,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,198.9,-77.55,180.0,bottom
R15,M1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,189.9,-61.9,270.0,bottom
R16,3k3,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,147.5,-44.9,0.0,bottom
R17,6k8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,188.85,-64.7,0.0,bottom
R18,6k8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,192.6,-64.7,0.0,bottom
R2,0R15,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,207.0,-50.4,180.0,bottom
R25,4k7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,188.2,-77.1,270.0,bottom
R26,4k7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,186.3,-77.1,270.0,bottom
R28,3k3,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,141.25,-41.0,0.0,bottom
R29,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,194.9,-76.9,0.0,bottom
R3,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,204.25,-83.8,270.0,bottom
R30,470K,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,149.6,-62.6,270.0,bottom
R31,470K,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,149.6,-54.6,270.0,bottom
R32,k1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,166.2,-50.0,180.0,bottom
R33,k47,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,166.7,-91.013672,0.0,bottom
R34,k47,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,166.7,-87.213672,0.0,bottom
R37,k47,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,166.7,-83.413672,0.0,bottom
R38,k47,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,166.7,-79.613672,0.0,bottom
R4,22k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,173.3,-91.7,270.0,bottom
R46,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,191.6,-82.7,0.0,bottom
R47,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,174.1,-102.1,270.0,bottom
R48,k1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,172.2,-100.2,270.0,bottom
R5,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,166.7,-89.113672,0.0,bottom
R6,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,166.7,-85.313672,0.0,bottom
R7,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,166.7,-81.513672,0.0,bottom
R8,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,166.7,-77.713672,0.0,bottom
R9,k1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,203.55,-102.6,180.0,bottom
RV1,10D561K,RV_Disc_D12mm_W3.9mm_P7.5mm,123.6,-48.4,180.0,top
SW1,TERM OFF,Switch_SS12D00,214.45,-96.8,90.0,top
SW2,PROG,SW_SPST_TL3342_smaller_handsolder,193.3,-101.8,0.0,top
SW4,RESET,SW_SPST_TL3342_smaller_handsolder,184.35,-101.8,0.0,top
U1,MAX98357_MODULE,PinHeader_1x07_P2.54mm_Vertical,201.4,-86.5,180.0,top
U10,DS18B20,TO-92L_HandSolder,194.13,-81.035,180.0,top
U11,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1_handsolder,189.525,-94.13,180.0,bottom
U2,TPS92200D1DDCR,SOT-23-6_Handsoldering,196.8,-53.6,90.0,bottom
U3,TPS92200D1DDCR,SOT-23-6_Handsoldering,184.6,-42.5,270.0,bottom
U5,AMS1117-3.3,SOT-223-3_TabPin2_HANDSOLDER,181.4,-71.8,180.0,bottom
U6,RF,NRF24L01-Module-SMD,159.3,-93.55,90.0,bottom
U7,SN65HVD230,SOIC-8_3.9x4.9mm_Pitch1.27mm_handsolder,206.05,-90.2,90.0,bottom
U8,EL817,SO-4_7.6x3.6mm_P2.54mm_handsolder,157.8,-48.7,180.0,bottom
U9,TPS54202DDC,SOT-23-6_Handsoldering,184.55,-65.8,180.0,bottom
